apex1_x, apex1_y, apex1_z, apex2_x, apex2_y, apex2_z, apex3_x, apex3_y, apex3_z, a, b, p0_x, p0_y, p0_z, n1_x, n1_y, n1_z, n2_x, n2_y, n2_z, n3_x, n3_y, n3_z
0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,9.353013336658477783e-02,-6.795281916856765747e-02,-1.996655702590942383e+00,-3.572461009025573730e-02,-1.099508926272392273e-01,-1.996655821800231934e+00,1.359066814184188843e-01,1.156574934720993042e-01,9.353013336658477783e-02,-6.795281916856765747e-02,-1.996655702590942383e+00,-9.510551095008850098e-01,-3.090214133262634277e-01,-8.771407351559901144e-07,-8.086820244789123535e-01,5.875349640846252441e-01,-2.891552820801734924e-02,1.104311551898717880e-02,-3.398384153842926025e-02,-9.993613958358764648e-01
1.447214603424072266e+00,-1.051450610160827637e+00,-8.944390416145324707e-01,1.402965426445007324e+00,-1.019302129745483398e+00,-9.963491559028625488e-01,1.496496200561523438e+00,-9.513485431671142578e-01,-9.248971343040466309e-01,1.359083801507949829e-01,1.156597882509231567e-01,1.402965426445007324e+00,-1.019302129745483398e+00,-9.963491559028625488e-01,6.881899237632751465e-01,4.999955594539642334e-01,5.257366895675659180e-01,3.825804889202117920e-01,-2.779572904109954834e-01,8.811196684837341309e-01,7.250319123268127441e-01,-5.007986426353454590e-01,-4.727890193462371826e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-3.572461009025573730e-02,-1.099508926272392273e-01,-1.996655821800231934e+00,-1.156103760004043579e-01,0.000000000000000000e+00,-1.996655583381652832e+00,1.359078139066696167e-01,1.156573817133903503e-01,-3.572461009025573730e-02,-1.099508926272392273e-01,-1.996655821800231934e+00,-5.877937674522399902e-01,8.090108036994934082e-01,1.754266918396751862e-06,3.088831007480621338e-01,9.506604075431823730e-01,-2.891452424228191376e-02,-2.890986762940883636e-02,-2.100254595279693604e-02,-9.993612766265869141e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.156103760004043579e-01,0.000000000000000000e+00,-1.996655583381652832e+00,-3.572461009025573730e-02,1.099508926272392273e-01,-1.996655821800231934e+00,1.359078139066696167e-01,1.156587377190589905e-01,-1.156103760004043579e-01,0.000000000000000000e+00,-1.996655583381652832e+00,5.877937674522399902e-01,8.090108036994934082e-01,-1.754266918396751862e-06,9.995818734169006348e-01,0.000000000000000000e+00,-2.891624718904495239e-02,-2.890986762940883636e-02,2.100254781544208527e-02,-9.993613958358764648e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-3.572461009025573730e-02,1.099508926272392273e-01,-1.996655821800231934e+00,9.353013336658477783e-02,6.795281916856765747e-02,-1.996655702590942383e+00,1.359066814184188843e-01,1.156573817133903503e-01,-3.572461009025573730e-02,1.099508926272392273e-01,-1.996655821800231934e+00,9.510551095008850098e-01,-3.090214133262634277e-01,8.771407351559901144e-07,3.088831007480621338e-01,-9.506604075431823730e-01,-2.891452424228191376e-02,1.104311365634202957e-02,3.398383781313896179e-02,-9.993613958358764648e-01
1.447214603424072266e+00,-1.051450610160827637e+00,-8.944390416145324707e-01,1.496496200561523438e+00,-9.513485431671142578e-01,-9.248971343040466309e-01,1.518577814102172852e+00,-1.019302725791931152e+00,-8.092855811119079590e-01,1.359095275402069092e-01,1.156580969691276550e-01,1.496496200561523438e+00,-9.513485431671142578e-01,-9.248971343040466309e-01,1.624728888273239136e-01,-4.999957382678985596e-01,8.506508469581604004e-01,-4.260972440242767334e-01,-8.654998540878295898e-01,2.633459568023681641e-01,7.471154928207397461e-01,-5.007985830307006836e-01,-4.370573461055755615e-01
-5.527760386466979980e-01,-1.701298475265502930e+00,-8.944396972656250000e-01,-4.423436820507049561e-01,-1.717234611511230469e+00,-9.248982071876525879e-01,-5.001502037048339844e-01,-1.759234309196472168e+00,-8.092865347862243652e-01,1.359103620052337646e-01,1.156589239835739136e-01,-4.423436820507049561e-01,-1.717234611511230469e+00,-9.248982071876525879e-01,-4.253282845020294189e-01,-3.090249896049499512e-01,8.506464958190917969e-01,-9.548105001449584961e-01,1.377856135368347168e-01,2.633476853370666504e-01,-2.454150468111038208e-01,-8.653039932250976562e-01,-4.370588064193725586e-01
-1.788852453231811523e+00,0.000000000000000000e+00,-8.944312334060668945e-01,-1.769883990287780762e+00,-1.099510788917541504e-01,-9.248901009559631348e-01,-1.827689766883850098e+00,-6.795293837785720825e-02,-8.092789649963378906e-01,1.359091103076934814e-01,1.156580522656440735e-01,-1.769883990287780762e+00,-1.099510788917541504e-01,-9.248901009559631348e-01,-4.253267347812652588e-01,3.090163767337799072e-01,8.506503701210021973e-01,-1.640046834945678711e-01,9.506564736366271973e-01,2.633527517318725586e-01,-8.987935185432434082e-01,-3.398415073752403259e-02,-4.370529353618621826e-01
-5.527760386466979980e-01,1.701298475265502930e+00,-8.944396972656250000e-01,-6.514865159988403320e-01,1.649281144142150879e+00,-9.248983263969421387e-01,-6.294067502021789551e-01,1.717236757278442383e+00,-8.092870116233825684e-01,1.359097361564636230e-01,1.156602352857589722e-01,-6.514865159988403320e-01,1.649281144142150879e+00,-9.248983263969421387e-01,1.624590456485748291e-01,5.000054836273193359e-01,8.506477475166320801e-01,8.534521460533142090e-01,4.497425556182861328e-01,2.633457183837890625e-01,-3.100587427616119385e-01,8.443004488945007324e-01,-4.370587170124053955e-01
1.447214603424072266e+00,1.051450610160827637e+00,-8.944390416145324707e-01,1.367241144180297852e+00,1.129254817962646484e+00,-9.248977899551391602e-01,1.438692688941955566e+00,1.129255890846252441e+00,-8.092864155769348145e-01,1.359092146158218384e-01,1.156589165329933167e-01,1.367241144180297852e+00,1.129254817962646484e+00,-9.248977899551391602e-01,5.257299542427062988e-01,7.894119335105642676e-06,8.506515026092529297e-01,6.914595365524291992e-01,-6.727039217948913574e-01,2.633497714996337891e-01,7.071667909622192383e-01,5.557844638824462891e-01,-4.370569586753845215e-01
1.447214603424072266e+00,-1.051450610160827637e+00,-8.944390416145324707e-01,1.518577814102172852e+00,-1.019302725791931152e+00,-8.092855811119079590e-01,1.438692688941955566e+00,-1.129255771636962891e+00,-8.092863559722900391e-01,1.359091848134994507e-01,1.156603023409843445e-01,1.518577814102172852e+00,-1.019302725791931152e+00,-8.092855811119079590e-01,-5.877830982208251953e-01,-8.090184926986694336e-01,-5.701309873984428123e-06,-6.170069575309753418e-01,-2.779508829116821289e-01,-7.362375855445861816e-01,7.360734939575195312e-01,-5.347828865051269531e-01,-4.149735569953918457e-01
-5.527760386466979980e-01,-1.701298475265502930e+00,-8.944396972656250000e-01,-5.001502037048339844e-01,-1.759234309196472168e+00,-8.092865347862243652e-01,-6.294067502021789551e-01,-1.717236757278442383e+00,-8.092869520187377930e-01,1.359082311391830444e-01,1.156594157218933105e-01,-5.001502037048339844e-01,-1.759234309196472168e+00,-8.092865347862243652e-01,-9.510575532913208008e-01,3.090140521526336670e-01,-3.069957756451913156e-06,-4.550069272518157959e-01,5.009175539016723633e-01,-7.362406253814697266e-01,-2.811499834060668945e-01,-8.653041124343872070e-01,-4.149740934371948242e-01
-1.788852453231811523e+00,0.000000000000000000e+00,-8.944312334060668945e-01,-1.827689766883850098e+00,-6.795293837785720825e-02,-8.092789649963378906e-01,-1.827689766883850098e+00,6.795295327901840210e-02,-8.092789053916931152e-01,1.359058916568756104e-01,1.156583204865455627e-01,-1.827689766883850098e+00,-6.795293837785720825e-02,-8.092789649963378906e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.385729255318437936e-07,3.357935249805450439e-01,5.875318050384521484e-01,-7.362399101257324219e-01,-9.098355174064636230e-01,1.819941815028869314e-07,-4.149690568447113037e-01
-5.527760386466979980e-01,1.701298475265502930e+00,-8.944396972656250000e-01,-6.294067502021789551e-01,1.717236757278442383e+00,-8.092870116233825684e-01,-5.001501441001892090e-01,1.759234309196472168e+00,-8.092864751815795898e-01,1.359082907438278198e-01,1.156601682305335999e-01,-6.294067502021789551e-01,1.717236757278442383e+00,-8.092870116233825684e-01,9.510575532913208008e-01,3.090139031410217285e-01,3.947086497646523640e-06,6.625505685806274414e-01,-1.378026902675628662e-01,-7.362317442893981934e-01,-2.811495661735534668e-01,8.653042912483215332e-01,-4.149740636348724365e-01
1.447214603424072266e+00,1.051450610160827637e+00,-8.944390416145324707e-01,1.438692688941955566e+00,1.129255890846252441e+00,-8.092864155769348145e-01,1.518577933311462402e+00,1.019302725791931152e+00,-8.092856407165527344e-01,1.359093487262725830e-01,1.156600862741470337e-01,1.438692688941955566e+00,1.129255890846252441e+00,-8.092864155769348145e-01,5.877832770347595215e-01,-8.090184330940246582e-01,5.701303052774164826e-06,7.368068397045135498e-02,-6.727064251899719238e-01,-7.362317442893981934e-01,7.360730767250061035e-01,5.347827076911926270e-01,-4.149745106697082520e-01
5.527760386466979980e-01,-1.701298475265502930e+00,8.944396972656250000e-01,6.514865159988403320e-01,-1.649281144142150879e+00,9.248983263969421387e-01,5.358746647834777832e-01,-1.649280428886413574e+00,9.963498115539550781e-01,1.359095871448516846e-01,1.156602352857589722e-01,6.514865159988403320e-01,-1.649281144142150879e+00,9.248983263969421387e-01,-8.506526350975036621e-01,5.262731974653434008e-06,5.257280468940734863e-01,-8.534521460533142090e-01,-4.497425556182861328e-01,-2.633457183837890625e-01,2.921929359436035156e-01,-8.313199281692504883e-01,4.727901816368103027e-01
-1.447214603424072266e+00,-1.051450610160827637e+00,8.944390416145324707e-01,-1.367241144180297852e+00,-1.129254817962646484e+00,9.248977899551391602e-01,-1.402965426445007324e+00,-1.019302129745483398e+00,9.963491559028625488e-01,1.359084844589233398e-01,1.156589165329933167e-01,-1.367241144180297852e+00,-1.129254817962646484e+00,9.248977899551391602e-01,-2.628554105758666992e-01,8.090200424194335938e-01,5.257314443588256836e-01,-6.914595365524291992e-01,6.727039217948913574e-01,-2.633497714996337891e-01,-7.003424167633056641e-01,-5.347813963890075684e-01,4.727890491485595703e-01
-1.447214603424072266e+00,1.051450610160827637e+00,8.944390416145324707e-01,-1.496496200561523438e+00,9.513485431671142578e-01,9.248971343040466309e-01,-1.402965426445007324e+00,1.019302129745483398e+00,9.963491559028625488e-01,1.359083801507949829e-01,1.156580969691276550e-01,-1.496496200561523438e+00,9.513485431671142578e-01,9.248971343040466309e-01,6.881899237632751465e-01,4.999955594539642334e-01,5.257366895675659180e-01,4.260972440242767334e-01,8.654998540878295898e-01,-2.633459568023681641e-01,-7.250319123268127441e-01,5.007986426353454590e-01,4.727889895439147949e-01
5.527760386466979980e-01,1.701298475265502930e+00,8.944396972656250000e-01,4.423436820507049561e-01,1.717234611511230469e+00,9.248982071876525879e-01,5.358746647834777832e-01,1.649280428886413574e+00,9.963498115539550781e-01,1.359086036682128906e-01,1.156589239835739136e-01,4.423436820507049561e-01,1.717234611511230469e+00,9.248982071876525879e-01,6.881902813911437988e-01,-4.999991357326507568e-01,5.257327556610107422e-01,9.548105001449584961e-01,-1.377856135368347168e-01,-2.633476853370666504e-01,2.522393465042114258e-01,8.443013429641723633e-01,4.727901518344879150e-01
1.788852453231811523e+00,0.000000000000000000e+00,8.944312334060668945e-01,1.769883990287780762e+00,1.099510788917541504e-01,9.248901009559631348e-01,1.734158158302307129e+00,0.000000000000000000e+00,9.963408112525939941e-01,1.359072476625442505e-01,1.156580522656440735e-01,1.769883990287780762e+00,1.099510788917541504e-01,9.248901009559631348e-01,-2.628692090511322021e-01,-8.090155720710754395e-01,5.257314443588256836e-01,1.640046834945678711e-01,-9.506564736366271973e-01,-2.633527517318725586e-01,8.809259533882141113e-01,2.100229449570178986e-02,4.727878868579864502e-01
1.156103760004043579e-01,0.000000000000000000e+00,1.996655583381652832e+00,3.572461009025573730e-02,1.099509000778198242e-01,1.996655702590942383e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.359078139066696167e-01,1.156587377190589905e-01,1.156103760004043579e-01,0.000000000000000000e+00,1.996655583381652832e+00,-5.877937674522399902e-01,8.090108633041381836e-01,8.771334591983759310e-07,-9.995818734169006348e-01,0.000000000000000000e+00,2.891624718904495239e-02,2.890986576676368713e-02,2.100362628698348999e-02,9.993612766265869141e-01
2.384899556636810303e-01,0.000000000000000000e+00,1.985729813575744629e+00,1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,1.156103760004043579e-01,0.000000000000000000e+00,1.996655583381652832e+00,1.402668207883834839e-01,1.233643516898155212e-01,2.384899556636810303e-01,0.000000000000000000e+00,1.985729813575744629e+00,-5.846886038780212402e-01,8.105066418647766113e-01,3.490267321467399597e-02,-9.960703849792480469e-01,0.000000000000000000e+00,8.856505155563354492e-02,8.854553103446960449e-02,2.099144831299781799e-02,9.958509206771850586e-01
3.678111135959625244e-01,0.000000000000000000e+00,1.965887784957885742e+00,2.845747768878936768e-01,1.172122359275817871e-01,1.976177692413330078e+00,2.384899556636810303e-01,0.000000000000000000e+00,1.985729813575744629e+00,1.441279947757720947e-01,1.308345049619674683e-01,3.678111135959625244e-01,0.000000000000000000e+00,1.965887784957885742e+00,-5.775167942047119141e-01,8.132510185241699219e-01,7.139423489570617676e-02,-9.884331226348876953e-01,0.000000000000000000e+00,1.516574621200561523e-01,1.516242623329162598e-01,2.091922610998153687e-02,9.882168173789978027e-01
